journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
Modern Philology	1918	['James Kessler']	Review Article	['eng']	842	article | book-review	10.2307/432818	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2008	['Kevin Attell']	Review Article	['eng']	1827	article | book-review	10.1086/598573	0	Twentieth‐Century Epic Novels. Theodore L. Steinberg. Newark: University of Delaware Press, 2005. Pp. 247.	2008-11-01	not citable	0.0	NA	NA	0
PMLA	2004	['Mary Ann Caws']	Looking: Literature's Other	['eng']	7692	article | research-article	10.2307/25486124	0	Looking: Literature's Other	2004	found	1.12	PMLA/Publications of the Modern Language Association of America	M. Caws	1
Modern Philology	2007	['Christian Thorne']	Review Article	['eng']	3638	article | book-review	10.1086/588112	0	The British Eighteenth Century and Global Critique. Clement Hawes. New York: Palgrave Macmillan, 2005. Pp. xi+257.	2007-11-01	not citable	0.0	NA	NA	0
PMLA	1934	['Kenneth Walter Cameron']	The Text of Othello: An Analysis	['eng']	11725	article | research-article	10.2307/458377	1	The Text of Othello: An Analysis	1934-09-01	already found	0.0	NA	NA	1
The Modern Language Review	1923	['W. W. Greg']	Review Article	['eng']	484	article | book-review	10.2307/3714600	0		no date	not citable	0.0	NA	NA	0
PMLA	1921	['G. R. Elliott']	The Real Tragedy of Keats (A Post-Centenary View)	['eng']	5260	article | research-article	10.2307/457195	0	The Real Tragedy of Keats (A Post-Centenary View)	1921	found	1.12	Pmla-publications of The Modern Language Association of America	G. R. Elliott	1
Modern Philology	2000	['anonymous']	Back Matter	['eng']	992	article | misc	10.2307/438940	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1934	['W. H. Bruford']	Review Article	['eng']	2111	article | book-review	10.2307/3715627	8	Grundriss einer Formenlehre des mittelalterlichen Liedes als Grundlage einer musikalischen Formenlehre des Liedes	1934-10-01	not citable	0.0	NA	NA	8
Modern Philology	1920	['Starr Willard Cutting']	Calvin Thomas, 1854-1919	['eng']	520	article | news	10.2307/432990	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1988	['David Hopkins']	Dryden and the Garth-Tonson Metamorphoses	['eng']	4754	article | research-article	10.2307/515478	0	DRYDEN AND THE GARTH-TONSON METAMORPHOSES	1988	found	1.12	The Review of English Studies	D. Hopkins	39
The Modern Language Review	1930	['Geoffrey Woledge']	Saint Amand, Fairfax and Marvell	['eng']	1339	article | research-article	10.2307/3715558	1	Saint Amand, Fairfax and Marvell	1930-10-01	already found	0.0	NA	NA	1
The Review of English Studies	1945	['F. W. Baxter']	Review Article	['eng']	747	article | book-review	10.2307/509182	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1961	['W. G. Moore']	Review Article	['eng']	1325	article | book-review	10.2307/3721721	0	Honore de Balzac. Illusions Perdues. Le manuscrit Louvenjoul		not citable	0.0	NA	NA	0
The Modern Language Review	1931	['E. J. Simmons']	Gogol and English Literature	['eng']	2931	article | research-article	10.2307/3715526	4	Gogol and English Literature	1931-10-01	already found	0.0	NA	NA	4
The Modern Language Review	1957	['W. D. Elcock']	Review Article	['eng']	1252	article | book-review	10.2307/3718107	203	Diccionario Crítico Etimológico de la Lengua Castellana	1957-04-01	not citable	0.0	NA	NA	203
The Modern Language Review	1971	['W. E. Yates']	Review Article	['eng']	1909	article | book-review	10.2307/3722530	1	The Plays of Grillparzer		not citable	0.0	NA	NA	1
The Modern Language Review	1979	['D. C. Offord']	Review Article	['eng']	1172	article | book-review	10.2307/3727004	0	Selected Satirical Writings		not citable	0.0	NA	NA	0
Modern Philology	1930	['F. A. G. Cowper']	"Date and Dedication of the ""Roman de Troie"""	['eng']	1286	article | research-article	10.2307/433510	0	"Date and Dedication of the ""Roman de Troie"""	1930	found	1.12	Modern Philology	F. A. G. Cowper	2
The Modern Language Review	1954	['C. J. Sisson']	Correspondence	['eng']	434	article | research-article	10.2307/3718869	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1942	['R. Peacock']	Review Article	['eng']	1004	article | book-review	10.2307/3717797	0	An Anthology of German Poetry, 1880-1940		not citable	0.0	NA	NA	0
The Modern Language Review	2000	['Alison Sinclair']	Review Article	['eng']	1909	article | book-review	10.2307/3736671	0	Death and the Doctor: Three Nineteenth-Century Spanish Tales: Fernan Caballero, 'Juan Holgado and Death'; Antonio de Trueba, 'Tragaldabas'; Pedro Antonio de Alarcon, 'Death's Friend'	2000-10-01	not citable	0.0	NA	NA	0
Critical Inquiry	1986	['Robert P. Harrison']	The Italian Silence	['eng']	7514	article | research-article	10.2307/1343555	0	The Italian Silence	1986	found	1.12	Critical Inquiry	R. Harrison	2
The Review of English Studies	2016	['PAUL J. HECHT']	Review Article	['eng']	1006	article | book-review	10.2307/44016434	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1978	['Bruce Thompson']	"The Limitations of Freedom: A Comparative Study of Schiller's ""Die Braut von Messina"" and Werner's ""Der 24te Februar"""	['eng']	5742	article | research-article	10.2307/3727105	0	"The Limitations of Freedom: A Comparative Study of Schiller's ""Die Braut von Messina"" and Werner's ""Der 24te Februar"""	1978	found	1.0	Modern Language Review	B. Thompson	0
The Review of English Studies	1983	['Peter Messent']	Review Article	['eng']	997	article | book-review	10.2307/517185	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1984	['H. T. Betteridge']	Review Article	['eng']	1221	article | book-review	10.2307/3730394	0		no date	not citable	0.0	NA	NA	0
Critical Inquiry	1998	['anonymous']	Books and Discs of Critical Interest	['eng']	2763	article | misc	10.2307/1344116	0	Books and Discs of Critical Interest	1998	found	1.02	Critical Inquiry		0
The Review of English Studies	1952	['J. C. Maxwell']	Dunciad IV. 121-2	['eng']	115	article | research-article	10.2307/511149	0	DUNCIAD IV. 121–2	1952	found	1.0611764705882354	The Review of English Studies	J. C. Maxwell	0
The Modern Language Review	1971	['G. T. Harris']	André Malraux et l'Esthétique de Max Jacob	['fre']	1814	article | research-article	10.2307/3723175	1	Andre Malraux et l'Esthetique de Max Jacob	1971-07-01	already found	0.0	NA	NA	1
The Modern Language Review	1974	['Siegbert Prawer']	Review Article	['eng']	1822	article | book-review	10.2307/3725367	3	Eduard Mörikes Gedichtwerk : Beschreibung und Deutung der Formenvielfalt und ihrer Entwicklung	1974-10-01	not citable	0.0	NA	NA	3
The Review of English Studies	1962	['J. B. Bamborough']	Review Article	['eng']	397	article | book-review	10.2307/512686	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1919	['John Matthews Manly']	Francis Barton Gummere, 1855-1919	['eng']	2236	article | news	10.2307/433115	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1967	['S. M. Jeremy Finnegan']	Review Article	['eng']	1488	article | book-review	10.2307/435911	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2000	['Hans Reiss']	Review Article	['eng']	1884	article | book-review	10.2307/3736685	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1931	['M. St. Clare Byrne']	Review Article	['eng']	786	article | book-review	10.2307/508473	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1992	['Roger Ellis']	Review Article	['eng']	1275	article | book-review	10.2307/3731444	43	Chaucer's Religious Tales	1992-10-01	not citable	0.0	NA	NA	43
The Modern Language Review	2012	['Peter Tame']	Review Article	['eng']	1016	article | book-review	10.5699/modelangrevi.107.4.1267	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1966	['W. M. Maidment']	Review Article	['eng']	606	article | book-review	10.2307/3721518	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1930	['H. E. Butler']	Review Article	['eng']	1045	article | book-review	10.2307/3716202	0	Melanthe: A Latin Pastoral Play of the Early Seventeenth Century	2012-05-26	not citable	0.0	NA	NA	0
The Modern Language Review	1944	['C. L. Wrenn']	Review Article	['eng']	1177	article | book-review	10.2307/3716466	31	The poetical dialogues of Solomon and Saturn		not citable	0.0	NA	NA	31
PMLA	1957	['Mackie L. Jarrell']	"Joyce's Use of Swift's Polite Conversation in the ""Circe"" Episode of Ulysses"	['eng']	4395	article | research-article	10.2307/460475	7	Joyce's Use of Swift's Polite Conversation in the “Circe” Episode of Ulysses	1957-06-01	already found	0.0	NA	NA	7
The Modern Language Review	1968	['Joan Grundy']	Review Article	['eng']	1230	article | book-review	10.2307/3722693	6	John Donne, Petrarchist : Italianate conceits and love theory in the songs and sonets		not citable	0.0	NA	NA	6
The Review of English Studies	2000	['Lionel Kelly']	Review Article	['eng']	1199	article | book-review	10.2307/519329	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1924	['S. J. Crawford']	"The Source of a Passage in Byrhtferd's ""Handboc"" (A.D. 1011)"	['eng']	311	article | research-article	10.2307/3714676	0	"The Source of a Passage in Byrhtferd's ""Handboc"" (A.D. 1011)"	1924-07-01	no strong match	0.0	NA	NA	0
The Modern Language Review	1998	['J. Walker']	Review Article	['eng']	1193	article | book-review	10.2307/3736601	0	Georg Buchner Jahrbuch, 8 (1990-94)	1998-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1966	['E. J. Engel']	Review Article	['eng']	591	article | book-review	10.2307/3721538	0	Zwischen Aufklarung und Politischer Romantik: Eine Studie uber Herders soziologischpolitisches Denken@@@Herder's Social and Political Thought. From Enlightenment to Nationalism	1966-07-01	not citable	0.0	NA	NA	0
Modern Philology	1964	['Samuel Holt Monk']	Review Article	['eng']	4419	article | book-review	10.2307/434679	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1931	['G. C. Moore Smith']	Review Article	['eng']	3462	article | book-review	10.2307/507935	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1965	['K. M. Lea']	Review Article	['eng']	1743	article | book-review	10.2307/513108	0		no date	not citable	0.0	NA	NA	0
ELH	2009	['anonymous']	Volume Information	['eng']	508	article | misc	10.2307/27742962	0		no date	not citable	0.0	NA	NA	0
PMLA	2010	['Warren Hoffman']	Writing for Lay Readers	['eng']	913	article | research-article	10.2307/41058309	0	Writing for Lay Readers	2010	found	1.12	PMLA/Publications of the Modern Language Association of America	Warren Hoffman	0
Modern Philology	1934	['Jared Eric Wenger, Jr.']	Balzac's Notes for an Unwritten Historical Novel	['eng']	2775	article | research-article	10.2307/434045	0	Balzac's Notes for an Unwritten Historical Novel	1934	found	1.02	Modern Philology	Jr. Jared Eric Wenger	0
The Modern Language Review	2002	['J. P. Greene']	Review Article	['eng']	491	article | book-review	10.2307/3738664	0	Crebillon fils, Les Egarements du coeur et de l'esprit		not citable	0.0	NA	NA	0
PMLA	1998	['Martha Banta']	Editor's Column: Diplomatic Relations	['eng']	3144	article | misc	10.2307/463242	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	2015	['Ben Moore']	DISRAELI AND THE ARCHI-TEXTUAL: CONSTRUCTIONS OF AUTHORITY IN <em>SYBIL</em>	['eng']	10518	article | research-article	10.5699/modelangrevi.110.1.0047	1	DISRAELI AND THE ARCHI-TEXTUAL: CONSTRUCTIONS OF AUTHORITY IN SYBIL		already found	0.0	NA	NA	1
PMLA	1926	['Cyrus L. Day']	Thomas Randolph's Part in the Authorship of Hey for Honesty	['eng']	3714	article | research-article	10.2307/457437	4	XVIII. Thomas Randolph's Part in the Authorship of Hey for Honesty	1926-06-01	already found	0.0	NA	NA	4
The Review of English Studies	2010	['JOAN KIRKBY']	Review Article	['eng']	1039	article | book-review	10.2307/40587697	0		no date	not citable	0.0	NA	NA	0
PMLA	2010	['anonymous']	Front Matter	['eng']	253	article | misc	10.2307/41058650	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2001	['Leah Scragg']	Review Article	['eng']	1935	article | book-review	10.2307/3070613	0		no date	not citable	0.0	NA	NA	0
PMLA	2008	['Frank D. Rashid']	Transparent Eye, Voice Howling Within: Codes of Violence in Lawrence Joseph's Poetry	['eng']	6134	article | research-article	10.2307/25501964	0	Transparent Eye, Voice Howling Within: Codes of Violence in Lawrence Joseph's Poetry	2008	found	1.12	PMLA/Publications of the Modern Language Association of America	Frank D. Rashid	1
Modern Philology	1966	['W. K. Wimsatt']	Review Article	['eng']	2179	article | book-review	10.2307/436030	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1987	['D. L. Shaw']	Review Article	['eng']	1201	article | book-review	10.2307/3730493	0		no date	not citable	0.0	NA	NA	0
Critical Inquiry	1974	['Rudolf Arnheim']	On the Nature of Photography	['eng']	5264	article | research-article	10.2307/1342924	0	On the Nature of Photography	1974	found	1.12	Critical Inquiry	R. Arnheim	58
The Modern Language Review	2001	['Elizabeth Newton']	Review Article	['eng']	505	article | book-review	10.2307/3735779	4	Inventing The Real World: The Art of Alain Robbe-Grillet	1994-10-01	not citable	0.0	NA	NA	4
The Modern Language Review	1973	['A. T. Hatto']	"On the Excellence of the ""Hildebrandslied"": A Comparative Study in Dynamics"	['eng']	12230	article | research-article	10.2307/3726048	6	"On the Excellence of the ""Hildebrandslied"": A Comparative Study in Dynamics"	1973-10-01	already found	0.0	NA	NA	6
The Modern Language Review	2007	['Clark Lawlor']	Review Article	['eng']	669	article | book-review	10.2307/20467310	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['anonymous']	Front Matter	['eng']	4457	article | misc	10.2307/3728321	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1975	['D. H. Green']	Review Article	['eng']	574	article | book-review	10.2307/3725603	0	Abbildungen zur Neidhart-Uberlieferung I: Die Berliner Neidhart-Handschrift R und die Pergamentfragmente Cb, K, O und M	1975-07-01	not citable	0.0	NA	NA	0
Modern Philology	1930	['Joseph G. Fucilla']	"Sources of Du Bellay's ""Contre les Petrarquistes"""	['eng']	4643	article | research-article	10.2307/433230	0	"Sources of Du Bellay's ""Contre les Petrarquistes"""	1930	found	1.12	Modern Philology	J. G. Fucilla	1
The Modern Language Review	2008	['Marialuisa Bignami']	Review Article	['eng']	655	article | book-review	10.2307/20467810	43	The Prose of Things: Transformations of Description in the Eighteenth Century		not citable	0.0	NA	NA	43
Modern Philology	1974	['Constance B. Hieatt']	Alliterative Patterns in the Hypermetric Lines of Old English Verse	['eng']	3323	article | research-article	10.2307/436520	0	Alliterative Patterns in the Hypermetric Lines of Old English Verse	1974	found	1.12	Modern Philology	C. Hieatt	3
The Review of English Studies	1989	['Jane Millgate']	Review Article	['eng']	1096	article | book-review	10.2307/516544	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1999	['David Clarke']	Review Article	['eng']	547	article | book-review	10.2307/3737043	1	Le Marc-Antoine ou la Cleopatre tragedie	1999-07-01	not citable	0.0	NA	NA	1
PMLA	1922	['Walter Clyde Curry']	More about Chaucer's Wife of Bath	['eng']	8720	article | research-article	10.2307/457207	6	More About Chaucer's Wife of Bath	1922-03-01	already found	0.0	NA	NA	6
PMLA	1929	['J. W. Rankin']	Rime and Reason	['eng']	3175	article | research-article	10.2307/457706	0	Rime and Reason	1929	found	1.12	PMLA/Publications of the Modern Language Association of America	J. Rankin	0
ELH	1974	['Georges Poulet']	The Role of Improvisation in Corinne	['eng']	4427	article | research-article	10.2307/2872724	1	The Role of Improvisation in Corinne	1974-01-24	already found	0.0	NA	NA	1
Critical Inquiry	2008	['Daniel Hack']	Close Reading at a Distance: The African Americanization of <em>Bleak House</em>	['eng']	11949	article | research-article	10.1086/592542	36	Close Reading at a Distance: The African Americanization of Bleak House	2008-04-01	already found	0.0	NA	NA	36
Modern Philology	1955	['Robert Martin Adams']	Review Article	['eng']	3244	article | book-review	10.2307/435549	0		no date	not citable	0.0	NA	NA	0
New Literary History	1996	['Robert Ellrodt']	Literary History and the Search for Certainty	['eng']	6726	article | research-article	10.2307/20057369	0	Literary History and the Search for Certainty	1996	found	1.12	New Literary History	R. Ellrodt	1
PMLA	1995	['Anthony Low']	What is Literature?	['eng']	947	article | research-article	10.2307/463200	1	What Is Literature?	1995-01-01	already found	0.0	NA	NA	1
The Modern Language Review	2012	['Alison Williams']	Review Article	['eng']	986	article | book-review	10.5699/modelangrevi.107.3.0933	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1969	['Marjorie Shaw']	Review Article	['eng']	1283	article | book-review	10.2307/3723692	1	L'OEuvre dramatique d'Alfred de Musset		not citable	0.0	NA	NA	1
Critical Inquiry	2004	['anonymous']	Books of Critical Interest	['eng']	2220	article | research-article	10.1086/427312	0	Books of Critical Interest	2004-09-01	not citable	0.0	NA	NA	0
ELH	1960	['Ray Frazer']	"The Origin of the Term ""Image"""	['eng']	5037	article | research-article	10.2307/2871916	11	"The Origin of the Term ""Image"""	1960-06-01	already found	0.0	NA	NA	11
The Modern Language Review	1996	['Carl Tighe']	"Tadeusz Konwicki's ""A Minor Apocalypse"""	['eng']	10877	article | research-article	10.2307/3734003	0	"Tadeusz Konwicki's ""A Minor Apocalypse"""	1996	found	1.0	Modern Language Review	C. Tighe	0
The Modern Language Review	2001	['anonymous']	Abstracts	['eng']	1306	article | misc	10.2307/3735855	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	['Robert Lethbridge']	Review Article	['eng']	1265	article | book-review	10.2307/3733953	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2014	['Aneesh Barai']	Review Article	['eng']	1017	article | book-review	10.5699/modelangrevi.109.4.1075	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1927	['H. M. Margoliouth']	Review Article	['eng']	2777	article | book-review	10.2307/507517	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1969	['anonymous']	Front Matter	['eng']	3187	article | misc	10.2307/3723431	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1960	['F. P. Pickering']	Review Article	['eng']	1246	article | book-review	10.2307/3720382	0	Dat Boec van den Houte. Eine mittelniederlandische Dichtung von der Herkunft des Kreuzes Christi mit einer Einleitung neu herausgegeben		not citable	0.0	NA	NA	0
The Modern Language Review	1964	['Andrew Hook']	Review Article	['eng']	1276	article | book-review	10.2307/3721068	0	Edgar Allan Poe: The Man behind the Legend@@@Poe's Literary Battles: The Critic in the Context of His Literary Milieu	1964-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1932	['G. C. Moore Smith']	Correspondence	['eng']	1176	article | research-article	10.2307/508840	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1938	['W. Fischer']	Review Article	['eng']	1038	article | book-review	10.2307/3715705	0		no date	not citable	0.0	NA	NA	0
PMLA	1936	['Robert J. Kane']	Joseph Hall and Work for Chimny-Sweepers	['eng']	2927	article | research-article	10.2307/458059	0	XXVII: Joseph Hall and Work for Chimny - Sweepers	1936	found	1.0188764044943819	PMLA/Publications of the Modern Language Association of America	R. Kane	0
PMLA	1985	['Carolyn G. Heilbrun']	Presidential Address 1984	['eng']	4384	article | research-article	10.2307/462082	0	Presidential Address 1984	1985-05-01	no strong match	0.0	NA	NA	0
The Modern Language Review	1994	['Alan Corkhill']	Review Article	['eng']	1098	article | book-review	10.2307/3735338	4	Schriftbilder : Studien zu einer Geschichte emblematischer Kurzprosa	1994-04-01	not citable	0.0	NA	NA	4
PMLA	1967	['Alan T. Gaylord']	Sentence and Solaas in Fragment VII of the Canterbury Tales: Harry Bailly as Horseback Editor	['eng']	8498	article | research-article	10.2307/461292	28	Sentence and Solaas in Fragment VII of the Canterbury Tales: Harry Bailly as Horseback Editor	1967-05-01	already found	0.0	NA	NA	28
Critical Inquiry	2011	['Sandra Laugier', 'Daniela Ginsburg']	Introduction to the French edition of <em>Must We Mean What We                         Say?</em>	['eng']	10878	article | research-article	10.1086/660985	5	Introduction to the French edition of Must We Mean What We Say?	2011-06-01	already found	0.0	NA	NA	5
The Modern Language Review	1970	['A. Gillies']	Review Article	['eng']	2644	article | book-review	10.2307/3723411	0	Faust, Der Tragodie erster Teil@@@Goethe's Faust I Scene by Scene. An Interpretation of Form and Content@@@Natur- und Fabelreich in Faust II@@@Goethe's Faust. Its Genesis and Purport	1970-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	2009	['Stephen Mossman']	Review Article	['eng']	620	article | book-review	10.2307/20468193	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1995	['W. E. Yates']	Review Article	['eng']	636	article | book-review	10.2307/3734652	0	Friedrich Kaiser (1814-1874) et le theatre populaire en Autriche au XIXe siecle	1995-04-01	not citable	0.0	NA	NA	0
PMLA	1937	['Eduard Prokosch']	Treason within the Castle	['eng']	3690	article | research-article	10.2307/458442	0	Treason Within the Castle	1937	found	1.12	PMLA/Publications of the Modern Language Association of America	E. Prokosch	1
The Review of English Studies	2006	['Gerald Morgan']	Review Article	['eng']	1066	article | book-review	10.2307/4501527	0		no date	not citable	0.0	NA	NA	0
New Literary History	2000	['Steven Edmund Winduo']	Unwriting Oceania: The Repositioning of the Pacific Writer Scholars within a Folk Narrative Space	['eng']	6558	article | research-article	10.2307/20057621	0	Unwriting Oceania: The Repositioning of the Pacific Writer Scholars Within a Folk Narrative Space	2000	found	1.12	New Literary History	S. Winduo	12
ELH	1969	['Charles A. Watkins']	Chaucer's Sweete Preest	['eng']	6874	article | research-article	10.2307/2872405	0	Chaucer's Sweete Preest	1969	found	1.0	no journal listed	C. Watkins	0
ELH	2014	['MATTHEW A. TAYLOR']	"""CONTAGIOUS EMOTIONS"" AND THE GHOST DANCE RELIGION: MOONEY'S SCIENCE, BLACK ELK'S FEVER"	['eng']	13203	article | research-article	10.2307/24475616	0		no date	no strong match	0.0	NA	NA	0
PMLA	1948	['A. Dwight Culler']	Edward Bysshe and the Poet's Handbook	['eng']	14155	article | research-article	10.2307/459687	32	Edward Bysshe and the Poet's Handbook	1948-09-01	already found	0.0	NA	NA	32
The Modern Language Review	1948	['A. de Oliveira Cabral']	Review Article	['eng']	1252	article | book-review	10.2307/3717957	0	Dona Briolanja and Other Poems from the Portuguese of Eugenio de Castro@@@Portuguese Poems and Translations	1948-10-01	not citable	0.0	NA	NA	0
The Modern Language Review	1962	['Malcolm Bradbury']	Review Article	['eng']	1239	article | book-review	10.2307/3720489	31	James Fenimore Cooper and the Development of American Sea Fiction	1961-06-01	not citable	0.0	NA	NA	31
PMLA	1965	"[""Justin O'Brien""]"	"Proust and ""le joli langage"""	['eng']	6560	article | research-article	10.2307/461273	2	Proust and “Le Joli Langage”	1965-06-01	already found	0.0	NA	NA	2
PMLA	1972	['anonymous']	Professional Notes and Comment	['eng']	3497	article | misc	10.2307/460892	0		no date	not citable	0.0	NA	NA	0
New Literary History	2006	['Richard van Oort']	Shakespeare and the Idea of the Modern	['eng']	10525	article | research-article	10.2307/20057947	0	Shakespeare and the Idea of the Modern	2006	found	1.12	New Literary History	R. van Oort	9
The Modern Language Review	1940	['W. H. Bruford']	Review Article	['eng']	478	article | book-review	10.2307/3717361	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2008	['Patrick Pollard']	Gide and Ibsen: A Symbolist Crossroads	['eng']	6744	article | research-article	10.2307/20467624	0		no date	no strong match	0.88	NA	NA	0
The Modern Language Review	1991	['Gordon O. Taylor']	Review Article	['eng']	1262	article | book-review	10.2307/3730548	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1988	['Derek Pearsall']	Review Article	['eng']	1305	article | book-review	10.2307/3730915	37	The Popular Literature of Medieval England	1988-10-01	not citable	0.0	NA	NA	37
The Modern Language Review	1985	['Joan C. Beal']	Review Article	['eng']	1270	article | book-review	10.2307/3729402	20	The grammar of headlines in The Times, 1870-1970		not citable	0.0	NA	NA	20
Modern Philology	2011	['Theresa Coletti']	<em>John M. Fyler</em>, Language and the Declining World in Chaucer, Dante, and Jean de Meun	['eng']	1461	article | book-review	10.1086/661514	0	John M. Fyler, Language and the Declining World in Chaucer, Dante, and Jean de Meun	2011	found	0.94	Modern Philology	T. Coletti	0
The Modern Language Review	1965	['W. G. Moore']	Review Article	['eng']	1308	article | book-review	10.2307/3720182	26	Forme et signification : essai sur les structures littéraires de Corneille à Claudel	1965-10-01	not citable	0.0	NA	NA	26
The Modern Language Review	1992	['N. E. Cronk']	Review Article	['eng']	1249	article | book-review	10.2307/3732997	0	Histoire de Calejava	1992-07-01	not citable	0.0	NA	NA	0
The Review of English Studies	2007	['Rebecca Bullard']	Review Article	['eng']	1038	article | book-review	10.2307/4501640	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1938	['Harold Williams']	Review Article	['eng']	384	article | book-review	10.2307/510218	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1992	['Nissa Torrents']	Review Article	['eng']	1258	article | book-review	10.2307/3733032	4	Poesías y epistolario de amor y de amistad	1992-07-01	not citable	0.0	NA	NA	4
The Modern Language Review	1923	['U. Lindelöf']	A New Collation of the Gloss of the Durham Ritual	['eng']	2928	article | research-article	10.2307/3714353	2	A New Collation of the Gloss of the Durham Ritual	1923-07-01	already found	0.0	NA	NA	2
The Modern Language Review	1980	['Philip Thody']	Review Article	['eng']	1248	article | book-review	10.2307/3728016	3	Laclos: Critical approaches to Les Liaisons dangereuses		not citable	0.0	NA	NA	3
The Modern Language Review	1959	['R. Niklaus']	Review Article	['eng']	1247	article | book-review	10.2307/3720243	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1951	['Frank Livingstone Huntley']	Robert Loveday: Commonwealth Man of Letters	['eng']	2491	article | research-article	10.2307/511178	0	ROBERT LOVEDAY: COMMONWEALTH MAN OF LETTERS	1951	found	1.12	The Review of English Studies	F. Huntley	2
PMLA	1914	['C. F. Tucker Brooke']	The Renascence of Germanic Studies in England, 1559-1689	['eng']	5020	article | research-article	10.2307/457072	2	The Renascence of Germanic Studies in England, 1559-1689		already found	0.0	NA	NA	2
PMLA	1949	['anonymous']	South-Central Modern Language Association	['eng']	1806	article | misc	10.2307/459522	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1979	['F. W. Sternfeld', 'C. R. Wilson']	Review Article	['eng']	1731	article | book-review	10.2307/514418	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1947	['E. Sarmiento']	Review Article	['eng']	1979	article | book-review	10.2307/3716826	2	Estudio del autografo de 'El heroe' graciano	1947-10-01	not citable	0.0	NA	NA	2
PMLA	2012	['Rosemary G. Feal']	Report of the Executive Director	['eng']	11761	article | misc	10.2307/41616858	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1965	['G. R. Hibbard']	Review Article	['eng']	645	article | book-review	10.2307/3720694	4	Thomas Nashe : Pierce Penniless his supplication to the Devil, Summer's Last Will and Testament, The Terrors of the Night, The Unfortunate Traveller and selected writings	1965-07-01	not citable	0.0	NA	NA	4
PMLA	2007	['Anthony Vidler']	Reading the City: The Urban Book from Mercier to Mitterrand	['eng']	10896	article | research-article	10.2307/25501683	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1930	['B. E. C. Davis']	Review Article	['eng']	2138	article | book-review	10.2307/3716389	1	The Poems of Thomas Randolph	1930-04-01	not citable	0.0	NA	NA	1
The Modern Language Review	1976	['David Irwin']	Review Article	['eng']	2694	article | book-review	10.2307/3724406	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1906	['G. Gregory Smith']	Review Article	['eng']	1541	article | book-review	10.2307/3713466	3	The Poetical Works of William Blake. A New and Verbatim Text from the Manuscript, Engraved and Letterpress Originals@@@The Lyrical Poems of William Blake	1906-07-01	not citable	0.0	NA	NA	3
The Review of English Studies	1938	['Haldeen Braddy']	Froissart's Account of Chaucer's Embassy in 1377	['eng']	2189	article | research-article	10.2307/510203	0	Froissart's Account of Chaucer's Embassy in 1377	1938	found	1.12	The Review of English Studies	Haldeen Braddy	2
The Modern Language Review	2001	['Carolyn D. Williams']	Review Article	['eng']	1794	article | book-review	10.2307/3737359	0		no date	not citable	0.0	NA	NA	0
