author,data
['Richard J. Berleth'],Result for ['Richard J. Berleth']
['Margaret D. Howie'],Result for ['Margaret D. Howie']
['Bill Johnston'],Result for ['Bill Johnston']
['Robert Lumley'],Result for ['Robert Lumley']
 catherine peebles,Result for  catherine peebles
['Michael Newbury'],Result for ['Michael Newbury']
['Robert P. Morgan'],Result for ['Robert P. Morgan']
['Gary Shapiro'],Result for ['Gary Shapiro']
['Sara Landreth'],Result for ['Sara Landreth']
['William H. Pritchard'],Result for ['William H. Pritchard']
['R. M. Spensley'],Result for ['R. M. Spensley']
['John B. Friedman'],Result for ['John B. Friedman']
['John W. Stage'],Result for ['John W. Stage']
['Bonnie Kime Scott'],Result for ['Bonnie Kime Scott']
['Taylor Starck'],Result for ['Taylor Starck']
['MARIT J. MacARTHUR'],Result for ['MARIT J. MacARTHUR']
['James Peter Thorne'],Result for ['James Peter Thorne']
['Victoria Kahn'],Result for ['Victoria Kahn']
['Jane H. M. Taylor'],Result for ['Jane H. M. Taylor']
['F. E. Sparshott'],Result for ['F. E. Sparshott']
['Anat Vernitski'],Result for ['Anat Vernitski']
['Robert T. Meyer'],Result for ['Robert T. Meyer']
['J. F. S. Smeall'],Result for ['J. F. S. Smeall']
['A. S. P. Woodhouse'],Result for ['A. S. P. Woodhouse']
['Edward Burns'],Result for ['Edward Burns']
['Sarah Joseph'],Result for ['Sarah Joseph']
['MARGARET R. GREER'],Result for ['MARGARET R. GREER']
['Eudo C. Mason'],Result for ['Eudo C. Mason']
['Terence H. Newcombe'],Result for ['Terence H. Newcombe']
['Margarita Vaysman'],Result for ['Margarita Vaysman']
['Clifford J. Peterson'],Result for ['Clifford J. Peterson']
['Melinda S. Zook'],Result for ['Melinda S. Zook']
['Fritz Wagner'],Result for ['Fritz Wagner']
['Isabelle Strong'],Result for ['Isabelle Strong']
 sandra m gilbert,Result for  sandra m gilbert
['J. C. Russell'],Result for ['J. C. Russell']
['Timothy Chesters'],Result for ['Timothy Chesters']
['James Hutton'],Result for ['James Hutton']
['ELOY LaBRADA'],Result for ['ELOY LaBRADA']
['Marianna Förde'],Result for ['Marianna Förde']
['John Hawley Roberts'],Result for ['John Hawley Roberts']
['CRYSTAL B. LAKE'],Result for ['CRYSTAL B. LAKE']
['Nancy Condee'],Result for ['Nancy Condee']
['Jane Hwang Degenhardt'],Result for ['Jane Hwang Degenhardt']
['Gustavo San Román'],Result for ['Gustavo San Román']
['K. Povey'],Result for ['K. Povey']
['John Goode'],Result for ['John Goode']
['Jessica Dubow'],Result for ['Jessica Dubow']
['Claude E. Jones'],Result for ['Claude E. Jones']
 oscar cargill,Result for  oscar cargill
['Terry J. Castle'],Result for ['Terry J. Castle']
['Maggie Berg'],Result for ['Maggie Berg']
['William Blackburn'],Result for ['William Blackburn']
['Henry Weinfield'],Result for ['Henry Weinfield']
['Daniel T. McGee'],Result for ['Daniel T. McGee']
['EMILY STEINLIGHT'],Result for ['EMILY STEINLIGHT']
['Emerson Grant Sutcliffe'],Result for ['Emerson Grant Sutcliffe']
['J. E. Gover'],Result for ['J. E. Gover']
['Owen E. Brady'],Result for ['Owen E. Brady']
['Jerome Bruner'],Result for ['Jerome Bruner']
['Richard Parker'],Result for ['Richard Parker']
['Paul Kiparsky'],Result for ['Paul Kiparsky']
['EILEEN J. POLLARD'],Result for ['EILEEN J. POLLARD']
['Miriam Hansen'],Result for ['Miriam Hansen']
 olga turner,Result for  olga turner
['Nicole Christian'],Result for ['Nicole Christian']
['Wolfgang F. Taraba'],Result for ['Wolfgang F. Taraba']
['Eugénie de Kalb'],Result for ['Eugénie de Kalb']
['Mary C. Dodd'],Result for ['Mary C. Dodd']
['Elizabeth Langland'],Result for ['Elizabeth Langland']
['Steven Z. Levine'],Result for ['Steven Z. Levine']
['Barbara Rojahn-Deyk'],Result for ['Barbara Rojahn-Deyk']
['Sue Ellen Holbrook'],Result for ['Sue Ellen Holbrook']
['David van Leer'],Result for ['David van Leer']
['Helen M. Briggs'],Result for ['Helen M. Briggs']
['Wendy\xa0Hui\xa0Kyong Chun'],Result for ['Wendy\xa0Hui\xa0Kyong Chun']
['Reingard Nethersole'],Result for ['Reingard Nethersole']
['Faith Wigzell'],Result for ['Faith Wigzell']
 steven w may,Result for  steven w may
['Jessie M. Lyons'],Result for ['Jessie M. Lyons']
['EMILY VASILIAUSKAS'],Result for ['EMILY VASILIAUSKAS']
['Camillo von Klenze'],Result for ['Camillo von Klenze']
['Trevor Burnard'],Result for ['Trevor Burnard']
['Allen J. Frantzen'],Result for ['Allen J. Frantzen']
['DAVID A. HARPER'],Result for ['DAVID A. HARPER']
['Jim Stewart'],Result for ['Jim Stewart']
['George Leonard Barnett'],Result for ['George Leonard Barnett']
['Willard Spiegelman'],Result for ['Willard Spiegelman']
['Alessandro Marini'],Result for ['Alessandro Marini']
['AMIT YAHAV'],Result for ['AMIT YAHAV']
['Gustavo Fares'],Result for ['Gustavo Fares']
['DAVID MATTHEWS'],Result for ['DAVID MATTHEWS']
['DAVID JAMES'],Result for ['DAVID JAMES']
['Roger S. Loomis'],Result for ['Roger S. Loomis']
 max cavitch,Result for  max cavitch
['W. Scott Howard'],Result for ['W. Scott Howard']
['Jonathan Mallinson'],Result for ['Jonathan Mallinson']
['HELEN HACKETT'],Result for ['HELEN HACKETT']
['PAUL TANKARD'],Result for ['PAUL TANKARD']
 thomas h fujimura,Result for  thomas h fujimura
['Kenneth W. Graham'],Result for ['Kenneth W. Graham']
['Jean M. Wyatt'],Result for ['Jean M. Wyatt']
['J. Dingley'],Result for ['J. Dingley']
['Martin Kane'],Result for ['Martin Kane']
['Anna Morpurgo Davies'],Result for ['Anna Morpurgo Davies']
['Pierre Larrivée'],Result for ['Pierre Larrivée']
['Janet Goodwyn'],Result for ['Janet Goodwyn']
['DeLancey Ferguson'],Result for ['DeLancey Ferguson']
['Robert J. Clements'],Result for ['Robert J. Clements']
['Mary Beth Rose'],Result for ['Mary Beth Rose']
['William J. Dodd'],Result for ['William J. Dodd']
['Avery F. Gordon'],Result for ['Avery F. Gordon']
['Anke Bernau'],Result for ['Anke Bernau']
['D. Williams'],Result for ['D. Williams']
['Isabel St. John Bliss'],Result for ['Isabel St. John Bliss']
['Edmund Valentine Campos'],Result for ['Edmund Valentine Campos']
['Isabel Ross'],Result for ['Isabel Ross']
['Peter S. Baker'],Result for ['Peter S. Baker']
['Madeleine Hope Dodds'],Result for ['Madeleine Hope Dodds']
['Robert JC Young'],Result for ['Robert JC Young']
 richard ohmann,Result for  richard ohmann
['Emily T. Troscianko'],Result for ['Emily T. Troscianko']
['B. Sprague Allen'],Result for ['B. Sprague Allen']
['CLARE A. LEES'],Result for ['CLARE A. LEES']
['Meaghan J. Brown'],Result for ['Meaghan J. Brown']
['James Finch Royster'],Result for ['James Finch Royster']
['Bruce A. Rosenberg'],Result for ['Bruce A. Rosenberg']
['Arthur K. Moore'],Result for ['Arthur K. Moore']
['Simon Parsons'],Result for ['Simon Parsons']
['Richard H. Lansing'],Result for ['Richard H. Lansing']
['Joseph F. Chorpenning'],Result for ['Joseph F. Chorpenning']
['Louis Arnaud Reid'],Result for ['Louis Arnaud Reid']
['ANDREW KOPEC'],Result for ['ANDREW KOPEC']
['DANIELLE A. ST. HILAIRE'],Result for ['DANIELLE A. ST. HILAIRE']
['Homer Obed Brown'],Result for ['Homer Obed Brown']
['Paul Endo'],Result for ['Paul Endo']
['Helmut Müller‐Sievers'],Result for ['Helmut Müller‐Sievers']
['R. Fargher'],Result for ['R. Fargher']
['JUDITH HAMERA'],Result for ['JUDITH HAMERA']
['Charles Moorman'],Result for ['Charles Moorman']
['Timothy Webb'],Result for ['Timothy Webb']
['Sarah Cole'],Result for ['Sarah Cole']
['Arno Schirokauer'],Result for ['Arno Schirokauer']
['John L. Bradley'],Result for ['John L. Bradley']
['David E. E. Sloane'],Result for ['David E. E. Sloane']
['ANDREW HADFIELD'],Result for ['ANDREW HADFIELD']
['Annie Barnes'],Result for ['Annie Barnes']
"[""James O'Rourke""]","Result for [""James O'Rourke""]"
['Bernard Johnson'],Result for ['Bernard Johnson']
['Jonah Siegel'],Result for ['Jonah Siegel']
['Daria Perocco'],Result for ['Daria Perocco']
['MICHAEL SILVERSTEIN'],Result for ['MICHAEL SILVERSTEIN']
['Alistair Fox'],Result for ['Alistair Fox']
['Shirley Jones'],Result for ['Shirley Jones']
['Kenneth Asher'],Result for ['Kenneth Asher']
['David L. Gitomer'],Result for ['David L. Gitomer']
['Denis D. Grélé'],Result for ['Denis D. Grélé']
['J. Paul de Castro'],Result for ['J. Paul de Castro']
['G. O. Rees'],Result for ['G. O. Rees']
['Brom Weber'],Result for ['Brom Weber']
['Eric W. Nye'],Result for ['Eric W. Nye']
['Daniel Jütte'],Result for ['Daniel Jütte']
['Steven Howe'],Result for ['Steven Howe']
['Alan Marshall'],Result for ['Alan Marshall']
['G. Robert Stange'],Result for ['G. Robert Stange']
['Carolyn J. Bishop'],Result for ['Carolyn J. Bishop']
['Beth Linklater'],Result for ['Beth Linklater']
['Madeleine M. Smith'],Result for ['Madeleine M. Smith']
['Elizabeth Helsinger'],Result for ['Elizabeth Helsinger']
['Diana Greene'],Result for ['Diana Greene']
['SUSAN KOSHY'],Result for ['SUSAN KOSHY']
['Mary Williams'],Result for ['Mary Williams']
 william nelson,Result for  william nelson
['Margaret Smith'],Result for ['Margaret Smith']
['Angela Scholar'],Result for ['Angela Scholar']
['Mendel G. Frampton'],Result for ['Mendel G. Frampton']
['David L. Miller'],Result for ['David L. Miller']
['Jacqueline Stewart'],Result for ['Jacqueline Stewart']
['N. E. Osselton'],Result for ['N. E. Osselton']
['SIDONIE SMITH'],Result for ['SIDONIE SMITH']
['David H. Greene'],Result for ['David H. Greene']
['John Axcelson'],Result for ['John Axcelson']
['MICHAEL J. HIRREL'],Result for ['MICHAEL J. HIRREL']
['Elizabeth Duthie'],Result for ['Elizabeth Duthie']
['EDWARD CAHILL'],Result for ['EDWARD CAHILL']
['Stephen Warman'],Result for ['Stephen Warman']
['Gämini Salgādo'],Result for ['Gämini Salgādo']
['Bernard E. C. Davis'],Result for ['Bernard E. C. Davis']
['Susanne H. Nobbe'],Result for ['Susanne H. Nobbe']
['Graham Chesters'],Result for ['Graham Chesters']
['Tom B. Haber'],Result for ['Tom B. Haber']
['Donald Lemen Clark'],Result for ['Donald Lemen Clark']
['Peter Shoemaker'],Result for ['Peter Shoemaker']
['L. M. Tancock'],Result for ['L. M. Tancock']
['Jack Stillinger'],Result for ['Jack Stillinger']
['Vincent Pecora'],Result for ['Vincent Pecora']
['Christine Rees'],Result for ['Christine Rees']
['J. W. Draper'],Result for ['J. W. Draper']
['C. A. Falgas-Ravry'],Result for ['C. A. Falgas-Ravry']
['Alun David'],Result for ['Alun David']
['Edgar Finley Shannon'],Result for ['Edgar Finley Shannon']
['Ivy L. Mumford'],Result for ['Ivy L. Mumford']
['Radosveta Getova'],Result for ['Radosveta Getova']
['Stella P. Revard'],Result for ['Stella P. Revard']
['Henry Raymond Brush'],Result for ['Henry Raymond Brush']
['Owen Evans'],Result for ['Owen Evans']
['Donald Ramsay Roberts'],Result for ['Donald Ramsay Roberts']
['J. A. BURROW'],Result for ['J. A. BURROW']
['Martin Gray'],Result for ['Martin Gray']
['E. V. Sittler'],Result for ['E. V. Sittler']
['CLARE PETTITT'],Result for ['CLARE PETTITT']
['JOHN SAVARESE'],Result for ['JOHN SAVARESE']
 john meddemmen,Result for  john meddemmen
['E. M. W. Tillyard'],Result for ['E. M. W. Tillyard']
['Linda W. Wagner-Martin'],Result for ['Linda W. Wagner-Martin']
['John Llewelyn'],Result for ['John Llewelyn']
['David Sonstroem'],Result for ['David Sonstroem']
['Peter Holbrook'],Result for ['Peter Holbrook']
['David MacFadyen'],Result for ['David MacFadyen']
['Colin Kidd'],Result for ['Colin Kidd']
['Alexandra Vukovich'],Result for ['Alexandra Vukovich']
['Thomas Keymer'],Result for ['Thomas Keymer']
['Tracy B. Strong'],Result for ['Tracy B. Strong']
['H. E. Berthon'],Result for ['H. E. Berthon']
['Grace R. Trenery'],Result for ['Grace R. Trenery']
['Arthur H. Scouten'],Result for ['Arthur H. Scouten']
['Peter Hainsworth'],Result for ['Peter Hainsworth']
['Juan López-Morillas'],Result for ['Juan López-Morillas']
['Martin Warner'],Result for ['Martin Warner']
['Herbert Marder'],Result for ['Herbert Marder']
['ELISABETH JAY'],Result for ['ELISABETH JAY']
['Ruth Mazo Karras'],Result for ['Ruth Mazo Karras']
['Kenneth N. McKee'],Result for ['Kenneth N. McKee']
['P. E. T. Widdrington'],Result for ['P. E. T. Widdrington']
['Rossella Riccobono'],Result for ['Rossella Riccobono']
['RUSSELL A. BERMAN'],Result for ['RUSSELL A. BERMAN']
['M. M. Frost'],Result for ['M. M. Frost']
['M. Keith Booker'],Result for ['M. Keith Booker']
['William J. Scheick'],Result for ['William J. Scheick']
['Vaheed K. Ramazani'],Result for ['Vaheed K. Ramazani']
['Christiana Gregoriou'],Result for ['Christiana Gregoriou']
['Julia Kristeva'],Result for ['Julia Kristeva']
['Richard Finkelstein'],Result for ['Richard Finkelstein']
['Joseph Parisi'],Result for ['Joseph Parisi']
['Lisa Wedeen'],Result for ['Lisa Wedeen']
"[""Catherine O'Brien""]","Result for [""Catherine O'Brien""]"
['John B. Wooldridge'],Result for ['John B. Wooldridge']
['Birgit Menzel'],Result for ['Birgit Menzel']
['J. M. Carré'],Result for ['J. M. Carré']
['Julie Carlson'],Result for ['Julie Carlson']
 margaret homans,Result for  margaret homans
['Elizabeth Salter'],Result for ['Elizabeth Salter']
['Godfrey Davies'],Result for ['Godfrey Davies']
['STACY ALAIMO'],Result for ['STACY ALAIMO']
['Moshe Sluhovsky'],Result for ['Moshe Sluhovsky']
['Richard Dutton'],Result for ['Richard Dutton']
['Daniel Heller-Roazen'],Result for ['Daniel Heller-Roazen']
['David Park Williams'],Result for ['David Park Williams']
['Máire F. Cross'],Result for ['Máire F. Cross']
['S. F. Johnson'],Result for ['S. F. Johnson']
['Hugh M. Richmond'],Result for ['Hugh M. Richmond']
 e c graf,Result for  e c graf
 deidre shauna lynch,Result for  deidre shauna lynch
['Judy Kronenfeld'],Result for ['Judy Kronenfeld']
['Vincent Carretta'],Result for ['Vincent Carretta']
['Lynne Joyrich'],Result for ['Lynne Joyrich']
['Milton R. Stern'],Result for ['Milton R. Stern']
['Randy Martin'],Result for ['Randy Martin']
['Aidan Conveney'],Result for ['Aidan Conveney']
['JOSHUA GANG'],Result for ['JOSHUA GANG']
['Jerome Meckier'],Result for ['Jerome Meckier']
 vitaly chernetsky,Result for  vitaly chernetsky
['Kent Puckett'],Result for ['Kent Puckett']
['Joseph X. Brennan'],Result for ['Joseph X. Brennan']
['Jon Hughes'],Result for ['Jon Hughes']
['Franklin R. Baruch'],Result for ['Franklin R. Baruch']
 aubrey williams,Result for  aubrey williams
['R. A. Peace'],Result for ['R. A. Peace']
 c k edmonds,Result for  c k edmonds
['G. Singh'],Result for ['G. Singh']
['Christopher Prendergast'],Result for ['Christopher Prendergast']
['Edward Strickland'],Result for ['Edward Strickland']
['Shana Goldin-Perschbacher'],Result for ['Shana Goldin-Perschbacher']
['V. Dupont'],Result for ['V. Dupont']
['JAMES GRANDE'],Result for ['JAMES GRANDE']
['Allen Austin'],Result for ['Allen Austin']
['Andrew W. Cole'],Result for ['Andrew W. Cole']
['Rayner Unwin'],Result for ['Rayner Unwin']
['D. Fox'],Result for ['D. Fox']
['Graham Bartram'],Result for ['Graham Bartram']
['Constance Jordan'],Result for ['Constance Jordan']
['Bert O. States'],Result for ['Bert O. States']
['W. F. Bolton'],Result for ['W. F. Bolton']
['Ewald Flügel'],Result for ['Ewald Flügel']
['Robert M. Jordan'],Result for ['Robert M. Jordan']
['Catherine Molineux'],Result for ['Catherine Molineux']
['P. W. Thomas'],Result for ['P. W. Thomas']
['Neal Alexander'],Result for ['Neal Alexander']
 martin roth,Result for  martin roth
['Andreas Huyssen'],Result for ['Andreas Huyssen']
['PHILIP GARDNER'],Result for ['PHILIP GARDNER']
['Maxwell I. Raphael'],Result for ['Maxwell I. Raphael']
['W. J. Blyth Crotch'],Result for ['W. J. Blyth Crotch']
['Esther Cloudman Dunn'],Result for ['Esther Cloudman Dunn']
 mitsuaki yoshinaga,Result for  mitsuaki yoshinaga
['M. B. Evans'],Result for ['M. B. Evans']
['J. K.-F.'],Result for ['J. K.-F.']
['Gertrude E. Noyes'],Result for ['Gertrude E. Noyes']
['LIANG-YA LIOU'],Result for ['LIANG-YA LIOU']
['Richard Terdiman'],Result for ['Richard Terdiman']
 thomas dutoit,Result for  thomas dutoit
['N. K. Coghill'],Result for ['N. K. Coghill']
['H. B. Lathrop'],Result for ['H. B. Lathrop']
['Molly Murray'],Result for ['Molly Murray']
 ronald gray,Result for  ronald gray
['T. P. C.'],Result for ['T. P. C.']
['Prudence Shaw'],Result for ['Prudence Shaw']
['Egbert Krispyn'],Result for ['Egbert Krispyn']
['Jennifer Burns'],Result for ['Jennifer Burns']
['M. E. Humble'],Result for ['M. E. Humble']
['R. W. Butterfield'],Result for ['R. W. Butterfield']
['J. R. Reinhard'],Result for ['J. R. Reinhard']
['BONNIE LANDER JOHNSON'],Result for ['BONNIE LANDER JOHNSON']
 glenn burger,Result for  glenn burger
['Ken Newton'],Result for ['Ken Newton']
 thomas hallock,Result for  thomas hallock
['Luisa Calè'],Result for ['Luisa Calè']
['William T. Moynihan'],Result for ['William T. Moynihan']
['John W. Wright'],Result for ['John W. Wright']
['Falko Klaes'],Result for ['Falko Klaes']
['Stephen Cushman'],Result for ['Stephen Cushman']
['Markus Schiegg'],Result for ['Markus Schiegg']
['Peter Lester Smith'],Result for ['Peter Lester Smith']
['Marshall Grossman'],Result for ['Marshall Grossman']
['Jonas Grethlein'],Result for ['Jonas Grethlein']
['Samuel Schuman'],Result for ['Samuel Schuman']
['Rose Rosengard Subotnik'],Result for ['Rose Rosengard Subotnik']
['K. M. Costain'],Result for ['K. M. Costain']
['HAYRETTİN YÜCESOY'],Result for ['HAYRETTİN YÜCESOY']
['Peter Stoneley'],Result for ['Peter Stoneley']
['Fred O. Nolte'],Result for ['Fred O. Nolte']
['R. O. Jones'],Result for ['R. O. Jones']
['Jeffrey T. Schnapp'],Result for ['Jeffrey T. Schnapp']
['Sonia M. Spurdle'],Result for ['Sonia M. Spurdle']
['Ann Ardis'],Result for ['Ann Ardis']
['Vin Nardizzi'],Result for ['Vin Nardizzi']
['Paul Robert McAleer'],Result for ['Paul Robert McAleer']
['Kevin J. McGinley'],Result for ['Kevin J. McGinley']
['Michael Rossington'],Result for ['Michael Rossington']
['Hans J. Hahn'],Result for ['Hans J. Hahn']
['Sinéad Sturgeon'],Result for ['Sinéad Sturgeon']
['Jürgen Habermas'],Result for ['Jürgen Habermas']
['Ellen Williams'],Result for ['Ellen Williams']
['LAROSE DAVIS'],Result for ['LAROSE DAVIS']
['Archimede Marni'],Result for ['Archimede Marni']
['David Caplan'],Result for ['David Caplan']
['Lisa Ruddick'],Result for ['Lisa Ruddick']
['Gita May'],Result for ['Gita May']
['Hartmut Steinecke'],Result for ['Hartmut Steinecke']
['Marilynn Desmond'],Result for ['Marilynn Desmond']
['J. B. Wynn'],Result for ['J. B. Wynn']
['Don M. Wolfe'],Result for ['Don M. Wolfe']
['Eric P. Hamp'],Result for ['Eric P. Hamp']
['Nadia Cannata'],Result for ['Nadia Cannata']
['Jeffrey A. Masten'],Result for ['Jeffrey A. Masten']
['M. L. Wine'],Result for ['M. L. Wine']
['Bonnie Ferrero'],Result for ['Bonnie Ferrero']
['L. A. Triebel'],Result for ['L. A. Triebel']
 e purdie,Result for  e purdie
['Frederick Goldin'],Result for ['Frederick Goldin']
['LEANNE STOKOE'],Result for ['LEANNE STOKOE']
['Peter Wagstaff'],Result for ['Peter Wagstaff']
['Courtland D. Baker'],Result for ['Courtland D. Baker']
['Maja-Lisa von Sneidern'],Result for ['Maja-Lisa von Sneidern']
['John Killham'],Result for ['John Killham']
['Werner W. Beyer'],Result for ['Werner W. Beyer']
['Marjorie Daunt'],Result for ['Marjorie Daunt']
['J. D. Stewart'],Result for ['J. D. Stewart']
['B. M. H. Carr'],Result for ['B. M. H. Carr']
['JASON MCELLIGOTT'],Result for ['JASON MCELLIGOTT']
['A. Coyle Lunn'],Result for ['A. Coyle Lunn']
['Sylvia Raphael'],Result for ['Sylvia Raphael']
['BEN CRABSTICK'],Result for ['BEN CRABSTICK']
['Martin Davies'],Result for ['Martin Davies']
['RYAN McDERMOTT'],Result for ['RYAN McDERMOTT']
['Ceri Sullivan'],Result for ['Ceri Sullivan']
['Patricia Howe'],Result for ['Patricia Howe']
['David M. Miller'],Result for ['David M. Miller']
['Margaret Olin'],Result for ['Margaret Olin']
['Edward L. Bassett'],Result for ['Edward L. Bassett']
['Madhavi Menon'],Result for ['Madhavi Menon']
['John J. McGavin'],Result for ['John J. McGavin']
 r bridges,Result for  r bridges
['Virginia Cox'],Result for ['Virginia Cox']
['YASMIN SOLOMONESCU'],Result for ['YASMIN SOLOMONESCU']
['Katharine M. Rogers'],Result for ['Katharine M. Rogers']
['Mary F. Godfrey'],Result for ['Mary F. Godfrey']
 e j dobson,Result for  e j dobson
['Frances E. Dolan'],Result for ['Frances E. Dolan']
['Joseph E. Brown'],Result for ['Joseph E. Brown']
['Gregory Baum'],Result for ['Gregory Baum']
['John Scattergood'],Result for ['John Scattergood']
['Deborah L. Parsons'],Result for ['Deborah L. Parsons']
['Thomas Copeland'],Result for ['Thomas Copeland']
['Bernardo Gicovate'],Result for ['Bernardo Gicovate']
['John L. Simons'],Result for ['John L. Simons']
['Loren Kruger'],Result for ['Loren Kruger']
['Edmund J. Campion'],Result for ['Edmund J. Campion']
['Karl Brunner'],Result for ['Karl Brunner']
['Varley Lang'],Result for ['Varley Lang']
['E. W. Watson'],Result for ['E. W. Watson']
 jean toomer,Result for  jean toomer
['D. Lee Hamilton'],Result for ['D. Lee Hamilton']
['J. P. Wieczorek'],Result for ['J. P. Wieczorek']
 c g martin,Result for  c g martin
['Mary Boyle'],Result for ['Mary Boyle']
['Matthew Wilkens'],Result for ['Matthew Wilkens']
['Henry E. Kalb'],Result for ['Henry E. Kalb']
 nancy j peterson,Result for  nancy j peterson
['William S. Ward'],Result for ['William S. Ward']
['BRADLEY DEPEW'],Result for ['BRADLEY DEPEW']
['Rosamund S. Allen'],Result for ['Rosamund S. Allen']
['Archie Burnett'],Result for ['Archie Burnett']
['R. W. Short'],Result for ['R. W. Short']
['Lorraine Piroux'],Result for ['Lorraine Piroux']
['David Gallon'],Result for ['David Gallon']
['Andrew Thacker'],Result for ['Andrew Thacker']
['Bruce Harkness'],Result for ['Bruce Harkness']
['James Raymond Wadsworth'],Result for ['James Raymond Wadsworth']
['John J. Enck'],Result for ['John J. Enck']
['KATHY LAVEZZO'],Result for ['KATHY LAVEZZO']
['VANESSA SMITH'],Result for ['VANESSA SMITH']
['Stephen Bann'],Result for ['Stephen Bann']
['Paul Dean'],Result for ['Paul Dean']
['W. J. Redbond'],Result for ['W. J. Redbond']
['Sara Van Den Berg'],Result for ['Sara Van Den Berg']
['Max W. Thomas'],Result for ['Max W. Thomas']
['Mark Gamsa'],Result for ['Mark Gamsa']
['W. Wolfgang Holdheim'],Result for ['W. Wolfgang Holdheim']
['O. S. Pickering'],Result for ['O. S. Pickering']
['Camilla Hay Gillies'],Result for ['Camilla Hay Gillies']
['Natalka Freeland'],Result for ['Natalka Freeland']
['Alexander H. Krappe'],Result for ['Alexander H. Krappe']
['Frederick P. W. McDowell'],Result for ['Frederick P. W. McDowell']
 sidonie smith,Result for  sidonie smith
 gladys d willcock,Result for  gladys d willcock
['SANDRA MACPHERSON'],Result for ['SANDRA MACPHERSON']
['JOHN MCBRATNEY'],Result for ['JOHN MCBRATNEY']
['GABRIEL EGAN'],Result for ['GABRIEL EGAN']
['Malcolm Bowie'],Result for ['Malcolm Bowie']
['EDWARD HOLBERTON'],Result for ['EDWARD HOLBERTON']
['Loredana Polezzi'],Result for ['Loredana Polezzi']
['Antonio Illiano'],Result for ['Antonio Illiano']
['Max Silverman'],Result for ['Max Silverman']
['G. M. Sutherland'],Result for ['G. M. Sutherland']
['W. L. Wardale'],Result for ['W. L. Wardale']
['Sarah Scales'],Result for ['Sarah Scales']
['Navina Krishna Hooker'],Result for ['Navina Krishna Hooker']
['Donald Sultana'],Result for ['Donald Sultana']
['Douglas Robinson'],Result for ['Douglas Robinson']
['Edith Gruber'],Result for ['Edith Gruber']
['Monica M. Gardner'],Result for ['Monica M. Gardner']
['Armine Kotin Mortimer'],Result for ['Armine Kotin Mortimer']
['Jay Ruud'],Result for ['Jay Ruud']
['Hans Eichner'],Result for ['Hans Eichner']
['Norman Nathan'],Result for ['Norman Nathan']
['W. A. Craigie'],Result for ['W. A. Craigie']
['Herbert G. Eldridge'],Result for ['Herbert G. Eldridge']
['David Platten'],Result for ['David Platten']
['Christine Devine'],Result for ['Christine Devine']
['Boris Lanin'],Result for ['Boris Lanin']
['William M. Blatt'],Result for ['William M. Blatt']
['James Supple'],Result for ['James Supple']
['Harold Scheub'],Result for ['Harold Scheub']
['E. K. Rand'],Result for ['E. K. Rand']
['Elaine M. Treharne'],Result for ['Elaine M. Treharne']
['Elizabeth Dipple'],Result for ['Elizabeth Dipple']
['Jacqueline Henkel'],Result for ['Jacqueline Henkel']
['Deborah Knight'],Result for ['Deborah Knight']
['RACHEL ABLOW'],Result for ['RACHEL ABLOW']
['Frank Ankersmit'],Result for ['Frank Ankersmit']
['Margaret Shook'],Result for ['Margaret Shook']
['Ira B. Nadel'],Result for ['Ira B. Nadel']
['Brian W. Aldiss'],Result for ['Brian W. Aldiss']
['Vilashini Cooppan'],Result for ['Vilashini Cooppan']
['Daniel Kinney'],Result for ['Daniel Kinney']
 eisner llp,Result for  eisner llp
['Ron Keightley'],Result for ['Ron Keightley']
['RICHARD T. GRAY'],Result for ['RICHARD T. GRAY']
['Karl Leydecker'],Result for ['Karl Leydecker']
 a v blanc,Result for  a v blanc
['G. Mellor'],Result for ['G. Mellor']
['Harriet Guest'],Result for ['Harriet Guest']
['Robert Bell'],Result for ['Robert Bell']
['Margaret R. Higonnet'],Result for ['Margaret R. Higonnet']
['Lori Ween'],Result for ['Lori Ween']
['GORAN STANIVUKOVIC'],Result for ['GORAN STANIVUKOVIC']
['Richard Hoggart'],Result for ['Richard Hoggart']
['Robert Petesch'],Result for ['Robert Petesch']
['Alan Hoyle'],Result for ['Alan Hoyle']
['Florian Smieja'],Result for ['Florian Smieja']
['Kathleen Coburn'],Result for ['Kathleen Coburn']
['Jessica Munns'],Result for ['Jessica Munns']
['L. G. Black'],Result for ['L. G. Black']
['C. M. Lotspeich'],Result for ['C. M. Lotspeich']
['Edgar F. Harden'],Result for ['Edgar F. Harden']
['Josephine Burne'],Result for ['Josephine Burne']
['Herbert Lederer'],Result for ['Herbert Lederer']
['JONATHAN FREEDMAN'],Result for ['JONATHAN FREEDMAN']
['Rhiannon Daniels'],Result for ['Rhiannon Daniels']
['Agnes M. C. Latham'],Result for ['Agnes M. C. Latham']
['Richard Douglas Jordan'],Result for ['Richard Douglas Jordan']
['Giuliana Minghelli'],Result for ['Giuliana Minghelli']
['HAZEL WILKINSON'],Result for ['HAZEL WILKINSON']
['Joseph M. Thomas'],Result for ['Joseph M. Thomas']
['Michael S. Roth'],Result for ['Michael S. Roth']
['HUGH GAZZARD'],Result for ['HUGH GAZZARD']
['Carol Christ'],Result for ['Carol Christ']
['Robert L. Beare'],Result for ['Robert L. Beare']
['Louis Allen'],Result for ['Louis Allen']
['Edward B. Ham'],Result for ['Edward B. Ham']
